[n9] 分组 ['main', 'aug']；21 臂 × 9 对 + 基线 = 396 个条目；dry_run=False

组     臂                配对      唯一开关                           复用判定
aug   numbases4        2:2     --num-bases 4                  ♻ 复用
aug   dropedge02       0:0     --drop-edge-prob 0.2           ♻ 复用
aug   dropedge02       0:1     --drop-edge-prob 0.2           ▶ 新跑
aug   dropedge02       0:2     --drop-edge-prob 0.2           ▶ 新跑
aug   dropedge02       1:0     --drop-edge-prob 0.2           ▶ 新跑
aug   dropedge02       1:1     --drop-edge-prob 0.2           ♻ 复用
aug   dropedge02       1:2     --drop-edge-prob 0.2           ▶ 新跑
aug   dropedge02       2:0     --drop-edge-prob 0.2           ▶ 新跑
aug   dropedge02       2:1     --drop-edge-prob 0.2           ▶ 新跑
aug   dropedge02       2:2     --drop-edge-prob 0.2           ♻ 复用
aug   layers1          0:0     --layers 1                     ♻ 复用
aug   layers1          0:1     --layers 1                     ▶ 新跑
aug   layers1          0:2     --layers 1                     ▶ 新跑
aug   layers1          1:0     --layers 1                     ▶ 新跑
aug   layers1          1:1     --layers 1                     ♻ 复用
aug   layers1          1:2     --layers 1                     ▶ 新跑
aug   layers1          2:0     --layers 1                     ▶ 新跑
aug   layers1          2:1     --layers 1                     ▶ 新跑
aug   layers1          2:2     --layers 1                     ♻ 复用
aug   layers3          0:0     --layers 3                     ♻ 复用
aug   layers3          0:1     --layers 3                     ▶ 新跑
aug   layers3          0:2     --layers 3                     ▶ 新跑
aug   layers3          1:0     --layers 3                     ▶ 新跑
aug   layers3          1:1     --layers 3                     ♻ 复用
aug   layers3          1:2     --layers 3                     ▶ 新跑
aug   layers3          2:0     --layers 3                     ▶ 新跑
aug   layers3          2:1     --layers 3                     ▶ 新跑
aug   layers3          2:2     --layers 3                     ♻ 复用
aug   cb_unlimited     0:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_unlimited_ss0 ♻ 复用
aug   cb_unlimited     0:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_unlimited_ss1 ▶ 新跑
aug   cb_unlimited     0:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_unlimited_ss2 ▶ 新跑
aug   cb_unlimited     1:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_unlimited_ss0 ▶ 新跑
aug   cb_unlimited     1:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_unlimited_ss1 ♻ 复用
aug   cb_unlimited     1:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_unlimited_ss2 ▶ 新跑
aug   cb_unlimited     2:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_unlimited_ss0 ▶ 新跑
aug   cb_unlimited     2:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_unlimited_ss1 ▶ 新跑
aug   cb_unlimited     2:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_unlimited_ss2 ♻ 复用
aug   cb_rev           0:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_rev_ss0 ♻ 复用
aug   cb_rev           0:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_rev_ss1 ▶ 新跑
aug   cb_rev           0:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_rev_ss2 ▶ 新跑
aug   cb_rev           1:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_rev_ss0 ▶ 新跑
aug   cb_rev           1:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/augmentation/graphs_ft/graph_variants/cb_rev_ss1 ♻ 复用
